partner,Date,Casey,Casey,CML,CML,IDC,IDC,Jason,Jason,Ken,Ken,LAN MLN,LAN MLN,Patterson,Patterson,Phil,Phil,Travis,Travis
ownership,,OIL,GAS,OIL,GAS,OIL,GAS,OIL,GAS,OIL,GAS,OIL,GAS,OIL,GAS,OIL,GAS,OIL,GAS
1818,2011-02-25,0.0,0.0,3.1239494800000003,3.9728668899999997,58.84661954999999,86.79605156000001,0.0,0.0,212.54557991,349.93180737,23.688608610000003,18.99667563,203.22078156999993,354.7820166,28.74070784,41.277854409999996,0.0,0.0
1819,2011-02-26,0.0,0.0,3.22382198,4.45911702,60.798601139999995,97.30606854,0.0,0.0,213.91351119,393.85984614,30.572722329999998,19.32601346,209.61136636,397.49491553,29.980050030000005,45.850555820000004,0.0,0.0
1820,2011-02-27,0.0,0.0,2.7692553900000005,3.9649065500000003,53.19852952999999,89.66346872000001,0.0,0.0,188.88708773999997,362.05026925999994,19.961650749999997,19.35395148,180.49049877,364.36095167,25.074659780000005,42.46787289,0.0,0.0
1821,2011-02-28,0.0,0.0,2.90098577,3.53880148,54.94231961999999,78.45639233,0.0,0.0,196.91471737,314.07879632,28.824051240000003,19.13891643,196.02950404,314.00090474,26.158523969999994,36.51914762,0.0,0.0
1822,2011-03-01,0.0,0.0,3.1180932100000005,3.53924597,56.99053720999999,75.79264333999998,0.0,0.0,198.00588786999998,292.75570072,26.766509659999997,24.57045667,199.30494950000008,302.91625279,28.482805349999992,36.02653309,0.0,0.0
1823,2011-03-02,0.0,0.0,2.9674088600000004,3.40299056,55.87445901,77.48818274,0.0,0.0,194.89504715999996,317.59960334999994,28.132380369999996,21.0234962,193.75472617000003,332.06448945,27.594654439999996,38.47548828,0.0,0.0
1824,2011-03-03,0.0,0.0,2.6042296199999995,3.4864409299999997,48.75407385,79.71954923999999,0.0,0.0,171.79118887999996,339.09053871,19.5707593,18.44333388,166.20082995999996,350.05468880999996,23.70618457999999,39.538886240000004,0.0,0.0
1825,2011-03-04,0.0,0.0,2.3473875700000004,3.7048822900000005,46.66620181,84.09127447,0.0,0.0,176.31455768,341.28007435999996,13.54580918,7.98031591,161.2078627,335.08422823999996,21.306563699999998,39.45145313,0.0,0.0
1826,2011-03-05,0.0,0.0,2.6614233599999992,3.35163813,53.46952537999999,80.6788372,0.0,0.0,208.70618580000001,355.78132565,18.21188459,2.39557116,179.81907048000005,342.78206585,24.175122199999997,37.78309306,0.0,0.0
1827,2011-03-06,0.0,0.0,2.70670155,2.65440099,54.28859078,67.66110084,0.0,0.0,205.43796807,310.15656935,17.970816969999998,0.72295408,200.42216143,294.51389714000004,24.71390022,31.847803269999996,0.0,0.0
1828,2011-03-07,0.0,0.0,2.27327416,2.82687256,47.25018978000001,67.30810283000001,0.0,0.0,193.10468885000003,306.85790027,13.92843122,0.75597148,182.70538031000004,293.13687094,20.739212300000002,31.262301139999995,0.0,0.0
1829,2011-03-08,0.0,0.0,3.844407490000002,1.9468360299999998,73.70909691000001,50.35360651,0.0,0.0,280.5164906,227.30721032000002,32.759874069999995,2.25207472,292.36787064,222.0108998,36.49597146000001,24.34379798,0.0,0.0
