well_id,well_name,date,oil,gas,water
3855.009,Pecan Grove #1,1/4/2020,1.7,170,15.1
4035.003,Pfeiffer #1,1/4/2020,0,0,0
9450.002,Pickens #1,1/4/2020,5,0,0
9455.013,Pickens Weaver #1,1/4/2020,6.7,12,0
9450.008,Pickwill #1,1/4/2020,0.2,3,0
3855.004,Preston #1,1/4/2020,8.4,362,31.5
7125.002,Rhodes #1,1/4/2020,5,0,8.4
4035.005,Richard #1,1/4/2020,28,132,3.5
8650.008,Richardson #1,1/4/2020,0,6,0
9450.011,Ronald #1,1/4/2020,34,0,20
9555.004,Russell #1,1/4/2020,0,57,0
8650.007,Ruth #1,1/4/2020,43.1,42,0
9455.004,Ruthpick #1,1/4/2020,38.4,49,3.5
1825.002,Solansky #1,1/4/2020,3.3,0,1.7
8650.004,Sugarland #1,1/4/2020,0,0,0
8350.006,Thalmann #1,1/4/2020,0,0,0
3850.003,Thompson #1,1/4/2020,4.5,13,0
3850.005,Thompson #2,1/4/2020,23.4,74,68.2
3850.012,Tlapek #1,1/4/2020,0,0,1.7
3850.006,Triple J #2,1/4/2020,4.5,0,0
8650.006,Trotter #1,1/4/2020,6.7,0,1.5
3855.01,Vermillion #1,1/4/2020,0,98,0
8650.005,Verna #1,1/4/2020,6.7,0,0
3855.008,White Marlin #1,1/4/2020,0,0,0
3855.013,Whittington #1,1/4/2020,6.7,0,0
4035.007,Aaron #1,1/5/2020,39.8,24,0
4035.004,Aniken #1,1/5/2020,0,0,0
3855.014,Anna Louisa #1,1/5/2020,0,0,40.1
9450.003,Annpick #1,1/5/2020,8.4,10,0
6725.001,Barrier #1,1/5/2020,0,0,0
4035.006,Beeler Ranch #1,1/5/2020,33.4,100,130
9750.002,Bermuda #1,1/5/2020,0,0,0
9555.005,Big Sonny #1,1/5/2020,0,0,0
9455.008,Blackmon #1,1/5/2020,49.7,108,16.7
9555.001,Blas Reyes #1,1/5/2020,0,239,0
7450.004,Bond #1,1/5/2020,0,0,0
9125.001,CT #1,1/5/2020,303.4,1043,8.4
3850.001,Cannan #1,1/5/2020,72.6,108,0
9455.003,Carolpick #1,1/5/2020,36.7,130,5
3855.012,Carolyn #1,1/5/2020,33.4,38,11.7
3855.002,Cenizo #1,1/5/2020,0,0,0
9455.011,Chad #1,1/5/2020,0,14,0
6725.002,Charles B #1,1/5/2020,31.7,4,28.4
8350.001,Circle T #1,1/5/2020,22.7,0,0
1825.005,Cross S #1,1/5/2020,0,0,0
9455.005,Dale #1,1/5/2020,0,0,0
3850.04,Dial #1,1/5/2020,0,0,0
9555.002,Dillard #1,1/5/2020,0,16,0
3850.026,Dunkle #2,1/5/2020,43.4,0,25
8650.009,Dunlap #1,1/5/2020,24.3,51,11.7
9450.001,Dyess #1,1/5/2020,0,0,1.7
9455.007,Eileen #1,1/5/2020,40.1,215,59.9
8350.01,Evergreen #1,1/5/2020,25,0,0
9450.006,Flower #1,1/5/2020,36.8,70,10
9455.009,Gail #1,1/5/2020,0,0,16.4
8350.003,Gil #1,1/5/2020,74.9,118,10
1825.006,Grissom #1,1/5/2020,0,0,0
3850.016,Huber #1,1/5/2020,0,0,0
8045.005,J Beeler #1,1/5/2020,318.9,573,298.4
8045.004,JJ #1,1/5/2020,685.2,893,58.5
9455.001,Jessica #1,1/5/2020,31.7,228,11.7
3850.015,Joe #1,1/5/2020,0,0,0
9455.014,Joseph #1,1/5/2020,11.7,0,11.7
5825.002,Jred #1,1/5/2020,6.8,0,0
3855.016,Kay #1,1/5/2020,204.2,0,0
9455.002,Kiley #1,1/5/2020,106.9,306,48.4
3855.003,Kirby #1,1/5/2020,1.7,57,5
3855.015,Kleimann #1,1/5/2020,421.8,613,130
3855.022,Kleimann #3,1/5/2020,0,0,3.3
3855.022,LT #1,1/5/2020,8.4,0,5
3855.017,La Rosita #1 ,1/5/2020,0,34,0
9455.012,Lackey Five #1,1/5/2020,214.6,0,6.7
7450.006,Lander #1,1/5/2020,51.8,729,153.6
3850.011,Leary Trust #1,1/5/2020,5,0,0
4025.002,Marguerite #1,1/5/2020,15,0,11.7
4025.002,Marpick #1,1/5/2020,3.3,0,5
3855.024,McLean #1,1/5/2020,4.5,0,0
9750.001,Molak #1,1/5/2020,0,0,0
3925.001,Montemayor #1,1/5/2020,0,0,0
8350.009,Moreland #1,1/5/2020,0,0,8.4
3855.001,PC #1,1/5/2020,16.3,90,1.4
3855.006,Palm #1,1/5/2020,126.6,120,133.3
3855.011,Parkway #1,1/5/2020,833.2,962,59.9
3855.009,Pecan Grove #1,1/5/2020,0,119,73.1
4035.003,Pfeiffer #1,1/5/2020,0,0,0
9450.002,Pickens #1,1/5/2020,5,6,0
9455.013,Pickens Weaver #1,1/5/2020,0,0,0
9450.008,Pickwill #1,1/5/2020,20,14,33.9
3855.004,Preston #1,1/5/2020,8.4,353,71.8
7125.002,Rhodes #1,1/5/2020,6.7,0,11.7
4035.005,Richard #1,1/5/2020,46.4,139,1.2
8650.008,Richardson #1,1/5/2020,0,0,0
9450.011,Ronald #1,1/5/2020,4.5,0,11.7
9555.004,Russell #1,1/5/2020,0,67,0
8650.007,Ruth #1,1/5/2020,0,23,0
9455.004,Ruthpick #1,1/5/2020,16.7,35,0
1825.002,Solansky #1,1/5/2020,6.7,0,14.8
8650.004,Sugarland #1,1/5/2020,0,0,0
8350.006,Thalmann #1,1/5/2020,0,24,0
3850.003,Thompson #1,1/5/2020,4.5,0,0
3850.005,Thompson #2,1/5/2020,11.7,76,36.7
3850.012,Tlapek #1,1/5/2020,11.7,0,8.4
3850.006,Triple J #2,1/5/2020,0,0,0
8650.006,Trotter #1,1/5/2020,6.7,0,0
3855.01,Vermillion #1,1/5/2020,3.3,27,11.7
8650.005,Verna #1,1/5/2020,8.4,0,0
3855.008,White Marlin #1,1/5/2020,0,0,0
3855.013,Whittington #1,1/5/2020,3,0,0
4035.007,Aaron #1,1/6/2020,155.9,39,125.1
4035.004,Aniken #1,1/6/2020,22.7,0,6.7
3855.014,Anna Louisa #1,1/6/2020,30.1,0,140.1
9450.003,Annpick #1,1/6/2020,3.3,11,0
6725.001,Barrier #1,1/6/2020,6.8,0,0
4035.006,Beeler Ranch #1,1/6/2020,63.5,108,136.9
9750.002,Bermuda #1,1/6/2020,15,0,29.8
9555.005,Big Sonny #1,1/6/2020,20,1,0
9455.008,Blackmon #1,1/6/2020,43.4,122,15
9555.001,Blas Reyes #1,1/6/2020,3.3,240,0
7450.004,Bond #1,1/6/2020,23.4,0,1.7
9125.001,CT #1,1/6/2020,303.7,1033,3.3
3850.001,Cannan #1,1/6/2020,31.8,106,0
9455.003,Carolpick #1,1/6/2020,15,129,0
3855.012,Carolyn #1,1/6/2020,48.6,35,11.7
3855.002,Cenizo #1,1/6/2020,0,0,0
9455.011,Chad #1,1/6/2020,0,21,18.4
6725.002,Charles B #1,1/6/2020,49.7,4,26.7
8350.001,Circle T #1,1/6/2020,18.2,0,0
1825.005,Cross S #1,1/6/2020,6.8,0,0
9455.005,Dale #1,1/6/2020,0,0,0
3850.04,Dial #1,1/6/2020,47.7,0,66.8
9555.002,Dillard #1,1/6/2020,0,13,0
3850.026,Dunkle #2,1/6/2020,63.2,0,0
8650.009,Dunlap #1,1/6/2020,25,52,13.4
9450.001,Dyess #1,1/6/2020,1.7,0,0
9455.007,Eileen #1,1/6/2020,5.7,0,11.7
8350.01,Evergreen #1,1/6/2020,13.6,0,0
9450.006,Flower #1,1/6/2020,35.1,66,18.4
9455.009,Gail #1,1/6/2020,0,1,0
8350.003,Gil #1,1/6/2020,0,67,0
1825.006,Grissom #1,1/6/2020,0,0,0
3850.016,Huber #1,1/6/2020,5,0,0
8045.005,J Beeler #1,1/6/2020,310.8,668,15
8045.004,JJ #1,1/6/2020,572.6,808,31.7
9455.001,Jessica #1,1/6/2020,28.4,232,9.4
3850.015,Joe #1,1/6/2020,0,0,0
9455.014,Joseph #1,1/6/2020,6.7,0,11.7
5825.002,Jred #1,1/6/2020,9.1,0,0
3855.016,Kay #1,1/6/2020,0.4,4,0
9455.002,Kiley #1,1/6/2020,110.7,311,84.9
3855.003,Kirby #1,1/6/2020,1.7,0,0
3855.015,Kleimann #1,1/6/2020,41.8,606,1.4
3855.022,Kleimann #3,1/6/2020,0,0,118.4
3855.022,LT #1,1/6/2020,0,0,8.4
3855.017,La Rosita #1 ,1/6/2020,25,33,0
9455.012,Lackey Five #1,1/6/2020,224.7,0,0
7450.006,Lander #1,1/6/2020,50.1,707,173.7
3850.011,Leary Trust #1,1/6/2020,6.7,0,0
4025.002,Marguerite #1,1/6/2020,10,0,0
4025.002,Marpick #1,1/6/2020,8.4,0,44.8
3855.024,McLean #1,1/6/2020,6.8,0,0
9750.001,Molak #1,1/6/2020,18.2,0,5
3925.001,Montemayor #1,1/6/2020,0,0,0
8350.009,Moreland #1,1/6/2020,2.3,0,1.7
3855.001,PC #1,1/6/2020,5,84,3.3
3855.006,Palm #1,1/6/2020,182,924,176.5
3855.011,Parkway #1,1/6/2020,813.4,886,1.7
3855.009,Pecan Grove #1,1/6/2020,0,65,294.8
4035.003,Pfeiffer #1,1/6/2020,23.4,0,19.7
9450.002,Pickens #1,1/6/2020,11.7,15,0
9455.013,Pickens Weaver #1,1/6/2020,0,0,0
9450.008,Pickwill #1,1/6/2020,0,6,51.6
3855.004,Preston #1,1/6/2020,10,277,1.5
7125.002,Rhodes #1,1/6/2020,0,0,6.7
4035.005,Richard #1,1/6/2020,43.4,145,7
8650.008,Richardson #1,1/6/2020,0,8,0
9450.011,Ronald #1,1/6/2020,0,0,41.8
9555.004,Russell #1,1/6/2020,0,76,0
8650.007,Ruth #1,1/6/2020,61.3,4,0
9455.004,Ruthpick #1,1/6/2020,8.4,45,0
1825.002,Solansky #1,1/6/2020,6.7,0,13.4
8650.004,Sugarland #1,1/6/2020,10,0,0
8350.006,Thalmann #1,1/6/2020,5,117,0
3850.003,Thompson #1,1/6/2020,6.8,179,0
